№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
1201,,,ištirti,ìštiria,ištýrė,,"исследовать, расследовать"
1202,,,įstoti,įstója,įstójo,,"вступить, поступить"
1203,,,ištraukti,ištráukia,ištráukė,,"вытащить, извлечь"
1204,,,ištremti,ìštremia,ìštrėmė,,"сослать, выслать"
1205,,,ištrinti,ìštrina,ištrýnė,,"стереть, удалить"
1206,,,ištrūkti,ištrū́ksta,ištrùko,,вырваться
1207,,,ištuštinti,ištùština,ištùštino,,опустошить
1208,,,ištverti,ìštveria,ištvė́rė,,"выдержать, вытерпеть"
1209,,,ištvirkti,ištvìrksta,ištvìrko,,"развратиться, распутничать"
1210,,,įsukti,į̃suka,į́suko,,"вкрутить, завернуть"
1211,,,įsūnyti,įsū́nija,įsū́nijo,,усыновить
1212,,,išvadinti,išvadìna,išvadìno,,"обозвать, назвать (негативно)"
1213,,,išvaduoti,išvadúoja,išvadãvo,,освободить
1214,,,išvagoti,išvagója,išvagójo,,избороздить
1215,,,išvaišinti,išvaišina,išvaišino,,угостить (всех)
1216,,,išvalyti,išvãlo,išvãlė,,"очистить, убрать"
1217,,,išvardinti,išvar̃dina,išvar̃dino,,перечислить
1218,,,išvardyti,išvar̃dija,išvar̃dijo,,перечислить
1219,,,išvarginti,išvárgina,išvárgino,,"измучить, утомить"
1220,,,išvaryti,išvãro,išvãrė,,"выгнать, изгнать"
1221,,,išvaškuoti,išvaškuoja,išvaškavo,,"навощить, отполировать воском"
1222,,,išvažiuoti,išvažiúoja,išvažiãvo,,"выехать, уехать"
1223,,,išvengti,išvéngia,išvéngė,,избежать
1224,,,išverkti,išver̃kia,ìšverkė,,выплакать
1225,,,išversti,išver̃čia,ìšvertė,,перевести (текст); вывернуть наизнанку
1226,,,išverti,ìšveria,išvė́rė,,"вынуть (нанизанное), вытащить (из отверстия)"
1227,,,išvesti,ìšveda,ìšvedė,,вывести
1228,,,išvežti,ìšveža,ìšvežė,,вывезти
1229,,,išvilioti,išviliója,išviliójo,,выманить
1230,,,įšvirkšti,išvirkščià,išvirkštė,,впрыснуть
1231,,,išvirsti,išvir̃sta,išvir̃to,,"вывалиться, высыпаться"
1232,,,išvirti,išvérda,ìšvirė,,"сварить, выварить"
1233,,,išvogti,išvogia,ìšvogė,,"выкрасть, украсть"
1234,,,išvykti,išvỹksta,išvỹko,,"уехать, отбыть"
1235,,,išvynioti,išvyniója,išvyniójo,,"развернуть, размотать"
1236,,,išvysti,išvýsta,išvýdo,,"увидеть, узреть"
1237,,,išvystyti,išvýsto,išvýstė,,развить
1238,,,išvyti,ìšveja,išvìjo,,"выгнать, изгнать"
1239,,,išžudyti,išžùdo,išžùdė,,"истребить, вырезать (убить всех)"
1240,,,įtaisyti,į́taiso,įtaĩsė,,"установить, устроить"
1241,,,įtakoti,įtakoja,įtakojo,,"влиять, оказывать влияние"
1242,,,įtarti,į̃taria,į̃tarė,,подозревать
1243,,,įteigti,įteĩgia,į̃teigė,,внушить
1244,,,įteikti,įteĩkia,į̃teikė,,"вручить, подать"
1245,,,įtempti,įtem̃pia,į̃tempė,,"натянуть, напрячь"
1246,,,įterpti,įter̃pia,į̃terpė,,"вставить, вклинить"
1247,,,įtikėti,į̃tiki,įtikė́jo,,поверить
1248,,,įtikinėti,įtikinė́ja,įtikinė́jo,,убеждать (многократно)
1249,,,įtikinti,įtìkina,įtìkino,,убедить
1250,,,įtikti,įtiñka,įtìko,,"угодить, понравиться"
1251,,,įtraukti,įtráukia,įtráukė,,"вовлечь, втянуть; включить"
1252,,,įtrinti,į̃trina,įtrýnė,,"втереть, натереть"
1253,,,įtrūkti,įtrū́ksta,įtrū́ko,,"треснуть, надломиться"
1254,,,įtūžti,įtū́žta,įtū́žo,,"прийти в ярость, рассвирепеть"
1255,,,įtvirtinti,įtvìrtina,įtvìrtino,,"закрепить, укрепить"
1256,,,įvaikinti,įvaĩkina,įvaĩkino,,усыновить
1257,,,įvairuoti,įvairúoja,įvairãvo,,варьировать
1258,,,įvardinti,įvar̃dina,įvar̃dino,,"назвать, обозначить"
1259,,,įvardyti,įvar̃dija,įvar̃dijo,,"назвать, обозначить"
1260,,,įvažiuoti,įvažiúoja,įvažiãvo,,въехать
1261,,,įveikti,įveĩkia,į̃veikė,,"преодолеть, одолеть"
1262,,,įverti,į̃veria,įvė́rė,,"нанизать, вдеть"
1263,,,įvertinti,įvértina,įvértino,,оценить
1264,,,įvesti,į̃veda,į̃vedė,,ввести
1265,,,įvežti,į̃veža,į̃vežė,,ввезти
1266,,,įvykdyti,įvýkdo,įvýkdė,,"выполнить, осуществить"
1267,,,įvykti,įvỹksta,įvỹko,,"произойти, состояться"
1268,,,įvynioti,įvynioja,įvyniójo,,"завернуть, обмотать"
1269,,,įžeidinėti,įžeidinė́ja,įžeidinė́jo,,оскорблять (многократно)
1270,,,įžeisti,įžeĩdžia,į̃žeidė,,оскорбить
1271,112,77,įžeĩsti,įžeĩdžia,į̃žeidė,ką?,оскорбить
1272,,,įžengti,įžeñgia,į̃žengė,,"войти, ступить"
1273,,,įžiebti,įžiẽbia,į̃žiebė,,"зажечь, разжечь"
1274,,,įžiūrėti,įžiū̃ri,įžiūrė́jo,,"разглядеть, рассмотреть"
1275,,,izoliuoti,izoliúoja,izoliãvo,,изолировать
1276,,,įžvelgti,įžvel̃gia,į̃žvelgė,,"разглядеть, усмотреть"
1277,,,jaudinti,jáudina,jáudino,,"волновать, тревожить"
1278,113,78,jáudintis,jáudinasi,jáudinosi,dėl ko?,"волноваться, переживать"
1279,,,jaukinti,jaukìna,jaukìno,,"приручать, приваживать"
1280,,,jaukti,jaũkia,jaũkė,,"приводить в беспорядок, ворошить"
1281,,,jauktis,jaũkiasi,jaũkėsi,,"приходить в беспорядок, ворошиться (о себе)"
1282,114,79,jaũsti,jaũčia,jaũtė,ką?,"чувствовать, испытывать"
1283,115,80,jaũstis,jaũčiasi,jaũtėsi,,чувствовать себя
1284,116,81,jodinė́ti,jodinė́ja,jodinė́jo,,ездить верхом
1285,117,82,jóti,jója,jójo,,"ехать верхом, скакать"
1286,118,83,judė́ti,jùda,judė́jo,,шевелиться
1287,,,judinti,jùdina,jùdino,,"двигать, шевелить"
1288,119,84,jùngti,jùngia,jùngė,ką?,"включать; соединить, соединять"
1289,,,jungtis,jùngiasi,jùngėsi,,"соединяться, включаться"
1290,,,juodėti,juodėja,juodėjo,,чернеть (становиться черным)
1291,,,juodinti,júodina,júodino,,чернить
1292,,,juoduoti,juodúoja,juodãvo,,чернеть (виднеться черным)
1293,120,85,juokáuti,juokáuja,juokãvo,,шутить
1294,,,juokinti,juõkina,juõkino,,смешить
1295,121,86,juõktis,juõkiasi,juõkėsi,iš ko?,смеяться
1296,,,justi,juñta,jùto,,чувствовать
1297,,,kabėti,kaba,kabėjo,,висеть
1298,122,87,kabìnti,kabìna,kabìno,ką?,"вешать,развешивать"
1299,,,kaboti,kãbo,kabójo,,висеть
1300,123,88,kainúoti,kainúoja,kainãvo,ką?,стоить
1301,,,kaišioti,káišioja,káišiojo,,"совать, засовывать (многократно)"
1302,,,kaisti,kaĩsta,kaĩto,,"нагреваться, раскаляться"
1303,,,kaitinti,kaĩtina,kaĩtino,,"нагревать, раскалять"
1304,,,kaitintis,kaĩtinasi,kaĩtinosi,,"нагреваться, раскаляться (о себе)"
1305,,,kakoti,kakoja,kakojo,,какать
1306,124,89,kalbė́ti,kal̃ba,kalbė́jo,apie ką?,говорить
1307,125,90,kalbė́tis,kal̃basi,kalbė́josi,,"разговаривать, беседовать"
1308,,,kalbinti,kálbina,kálbino,,"заговаривать, приглашать к разговору"
1309,,,kaldinti,káldina,káldino,,"чеканить, ковать"
1310,,,kalėti,kãli,kalė́jo,,"сидеть в тюрьме, быть заключенным"
1311,126,91,kálti,kãla,kãlė,ką?,вбивать; высекать; ковать; чеканить
1312,,,kaltinti,káltina,káltino,,обвинять
1313,,,kamšyti,kam̃šo,kam̃šė,,"затыкать, набивать"
1314,,,kamuoti,kamúoja,kamãvo,,"мучить, терзать"
1315,,,kamuotis,kamúojasi,kamãvosi,,"мучиться, терзаться"
1316,,,kandidatuoti,kandidatúoja,kandidatãvo,,"баллотироваться, быть кандидатом"
1317,,,kandžioti,kándžioja,kándžiojo,,"кусать (многократно), грызть"
1318,,,kankinti,kankìna,kankìno,,"мучить, пытать"
1319,,,kapituliuoti,kapituliúoja,kapituliãvo,,капитулировать
1320,,,kapoti,kapója,kapójo,,"рубить, крошить"
1321,,,kapsėti,kàpsi,kapsė́jo,,капать (о каплях)
1322,,,kapstyti,kãpsto,kãpstė,,"копать (неглубоко), ковырять"
1323,,,kariauti,kariáuja,kariãvo,,воевать
1324,,,karpyti,kar̃po,kar̃pė,,"стричь, резать (ножницами)"
1325,,,karščiuoti,karščiuoja,karščiavo,,температурить
1326,,,karščiuotis,karščiúojasi,karčiavosi,,"лихорадить, температурить (о себе)"
1327,,,karšinti,káršina,káršino,,"чесать (шерсть), вычесывать"
1328,,,karsti,kar̃sta,kar̃to,,карабкаться (арх.) / быть горячим (разг.)
1329,,,karstytis,kárstosi,kárstėsi,,"карабкаться, лазить"
1330,,,karti,kãria,kórė,,вешать (казнить); быть горьким
1331,127,92,kartóti,kartója,kartójo,ką?,повторять
1332,,,karūnuoti,karūnúoja,karūnãvo,,короновать
1333,,,kasinėti,kasinė́ja,kasinė́jo,,"копать (многократно, неглубоко)"
1334,128,93,kàsti,kãsa,kãsė,ką?,копать
1335,129,94,ką́sti,kánda,kándo,ką?,"кусать, есть"
1336,,,kastis,kãsasi,kãsėsi,,"копаться (о себе), рыться"
1337,,,kasyti,kãso,kãsė,,чесать
1338,,,kaukti,kaũkia,kaũkė,,выть
1339,,,kaulėti,kaulė́ja,kaulėjo,,"костенеть, окостеневать"
1340,,,kaupti,kaũpia,kaũpė,,"накапливать, собирать"
1341,,,kauptis,kaũpiasi,kaũpėsi,,"накапливаться, собираться"
1342,,,kaustyti,káusto,káustė,,подковывать
1343,,,kauti,káuna,kovė,,"бить, драться (архаично)"
1344,,,kautis,káunasi,kóvėsi,,"драться, сражаться"
1345,,,kavoti,kavoja,kavojo,,"прятать, скрывать"
1346,,,kedenti,kedẽna,kedẽno,,"взъерошивать, распушать"
1347,,,keiksnoti,keiksnója,keiksnójo,,"ругаться (многократно), браниться"
1348,,,keikti,kéikia,kéikė,,"ругать, проклинать"
1349,,,keiktis,kéikiasi,kéikėsi,,"ругаться (матом), сквернословить"
1350,130,95,keĩsti,keĩčia,keĩtė,ką? / į ką?,менять
1351,131,96,keĩstis,keĩčiasi,keĩtėsi,ką? / į ką?,"меняться,обмениваться"
1352,132,97,keliáuti,keliáuja,keliãvo,į ką? / po ką?,"путешествовать, странствовать, ездить"
1353,133,98,kélti,kẽlia,kė́lė,ką?,"поднимать, переводить"
1354,134,99,kéltis,kẽliasi,kė́lėsi,,"вставать, подниматься; переезжать"
1355,,,kenkti,keñkia,keñkė,,вредить
1356,,,kentėti,keñčia,kentė́jo,,"страдать, терпеть"
1357,,,kepinti,kẽpinta,kẽpino,,"жарить (сильно), палить (о солнце)"
1358,135,100,kèpti,kẽpa,kẽpė,ką?,"печь, жарить"
1359,,,kerėti,kẽri,kerė́jo,,"колдовать, очаровывать"
1360,,,kergti,ker̃gia,ker̃gė,,скрещивать (животных)
1361,,,kerpėti,kerpė́ja,kerpė́jo,,покрываться лишайником/мхом
1362,,,kerštauti,kerštáuja,kerštãvo,,мстить (многократно)
1363,,,keršyti,ker̃šija,ker̃šijo,,мстить
1364,,,kerti,kę̃ra,kẽro,,"рубить, бить (о молнии)"
1365,,,kėsti,kečia,kė́tė,,"раздвигать; распрости­рать, раскидывать; растопыривать, расстав­лять; расширять;"
1366,,,ketinti,ketìna,ketìno,,"намереваться, собираться"
1367,,,keturgubinti,keturgubina,keturgubino,,учетверять
1368,,,kėžti,kęžta,kežo,,"слабеть, хиреть šnek., гнить,
загнивать"
1369,,,kibirkščiuoti,kibirkščiúoja,kibirkščiãvo,,искриться
1370,,,kibti,kim̃ba,kìbo,,"цепляться, прилипать"
1371,,,kikenti,kikẽna,kikẽno,,хихикать
1372,,,kilnėti,kilnėja,kilnėjo,,"облагораживаться, возвышаться"
1373,,,kilnoti,kilnója,kilnójo,,"поднимать (многократно), подымать"
1374,,,kilstelėti,kìlsteli,kìlstelėjo,,приподнять (слегка)
1375,,,kilti,kỹla,kìlo,,"подниматься, возникать"
1376,,,kimšti,kem̃ša,kìmšo,,"набивать, затыкать"
1377,,,kimštis,kem̃šasi,kim̃šosi,,"набиваться, затыкаться"
1378,,,kinkyti,kiñko,kiñkė,,запрягать
1379,,,kirbėti,kìrba,kirbė́jo,,"шевелиться, копошиться (о червях, мыслях)"
1380,,,kirbti,kirbsta,kirbo,,"шевелиться, копошиться (о червях, мыслях)"
1381,,,kirčiuoti,kirčiúoja,kirčiãvo,,"ставить ударение, акцентировать"
1382,,,kirkinti,kìrkina,kìrkino,,дразнить
1383,,,kirmyti,kirmìja,kirmìjo,,"червиветь, гнить (о дереве)"
1384,136,101,kir̃pti,ker̃pa,kir̃po,ką?,стричь; кроить; резать
1385,,,kiršinti,kìršina,kir̃šino,,"подстрекать, стравливать"
1386,,,kirsti,ker̃ta,kir̃to,,"рубить, пересекать"
1387,,,kirstis,ker̃tasi,kir̃tosi,,"рубиться, пересекаться; ссориться"
1388,,,kiškiakopūsteliauti,kiškiakopūsteliauja,kiškiakopūsteliavo,,собирать кислицу (заячью капусту)
1389,,,kisti,kiñta,kìto,,"меняться, изменяться"
1390,,,kištis,kìšasi,kìšosi,,"соваться, вмешиваться"
1391,,,kiurdyti,kiùrdo,kiurdė,,"дырявить, продырявливать"
1392,,,klaidinti,klaidìna,klaidìno,,"вводить в заблуждение, сбивать с толку"
1393,,,klaidžioti,kláidžioja,kláidžiojo,,"блуждать, скитаться"
1394,,,klajoti,klajója,klajójo,,"блуждать, скитаться"
1395,,,klastoti,klastója,klastójo,,"подделывать, фальсифицировать"
1396,,,klaupti,klaũpia,klaũpė,,ставить на колени
1397,,,klauptis,klaũpiasi,klaũpėsi,,становиться на колени
1398,,,klausinėti,klausinė́ja,klausinė́jo,,"расспрашивать, задавать вопросы (многократно)"
1399,139,104,kláusti,kláusia,kláusė,ką? / ko?,спрашивать
1400,137,102,klausýti,klaũso,klaũsė,ko?,слушать; слушаться
1401,138,103,klausýtis,klaũsosi,klaũsėsi,ko?,слушать
1402,,,klestėti,klẽsti,klestė́jo,,процветать
1403,,,kliautis,kliaunasi,klióvėsi,,"полагаться, доверяться"
1404,,,klibinti,klìbina,klìbino,,"шатать, расшатывать"
1405,,,kliedėti,klíedi,kliedė́jo,,бредить
1406,140,105,klijúoti,klijúoja,klijãvo,ką?,"клеить, склеивать, наклеивать"
1407,,,klimpti,klim̃psta,klim̃po,,"увязать, застревать"
1408,,,kliudyti,kliùdo,kliùdė,,"мешать, препятствовать; задеть, попасть"
1409,,,kliustelėti,kliustelėja,kliustelė́jo,,"брызнуть, плеснуть (один раз)"
1410,,,kliūti,kliū̃va,kliùvo,,"застрять, зацепиться; попасться"
1411,,,klostytis,klóstosi,klóstėsi,,"складываться (о складках), образовываться (о ситуации)"
1412,141,106,klóti,klója,klójo,ką?,стлать; накрывать
1413,,,klotis,klójasi,klójosi,,"стелиться, настилаться; складываться (о делах)"
1414,,,klūpėti,klū̃pi,klūpė́jo,,стоять на коленях
1415,,,klūpoti,klū́po,klū́pojo,,стоять на коленях
1416,,,klykti,klỹkia,klỹkė,,"визжать, кричать (пронзительно)"
1417,,,klysti,klýsta,klýdo,,ошибаться
1418,,,knarkti,knar̃kia,knar̃kė,,храпеть
1419,,,knežinti,knežina,knežino,,"раздроблять, крошить"
1420,,,knežti,knęžta,knežo,,"разбиваться, распа­даться"
1421,,,kniaukti,kniaũkia,kniaũkė,,мяукать
1422,,,knibždėti,knìbžda,knibždė́jo,,"кишеть, копошиться"
1423,,,knisti,knìsa,knìso,,"рыть, копать"
1424,,,knistis,knìsasi,knìsosi,,"рыться, копаться"
1425,,,kniūbčioti,kniūbčioja,kniūbčiojo,,"лежать ничком, ползать на четвереньках"
1426,,,koduoti,kodúoja,kodãvo,,кодировать
1427,,,kolaboruoti,kolaboruoja,kolaboravo,,коллаборировать
1428,,,kolekcionuoti,kolekcionúoja,kolekcionãvo,,коллекционировать
1429,,,kolonizuoti,konolizuoja,kolonizãvo,,колонизировать
1430,,,kombinuoti,kombinúoja,kombinãvo,,комбинировать
1431,,,komentuoti,komentúoja,komentãvo,,комментировать
1432,,,kompensuoti,kompensúoja,kompensãvo,,компенсировать
1433,,,kompiuterizuoti,kompiuterizuoja,kompiuterizavo,,компьютеризировать
1434,,,komponuoti,komponúoja,komponãvo,,"компоновать, сочинять (музыку)"
1435,,,komunikuoti,komunikuoja,komunikavo,,"коммуницировать, общаться"
1436,,,koncentruoti,koncentrúoja,koncentrãvo,,концентрировать
1437,,,koncertuoti,koncertuoja,koncertavo,,давать концерт
1438,,,konfiskuoti,konfiskúoja,konfiskãvo,,конфисковать
1439,,,konkuruoti,konkurúoja,konkurãvo,,конкурировать
1440,,,konstruoti,konstrúoja,konstrãvo,,конструировать
1441,,,konsultuoti,konsultúoja,konsultãvo,,консультировать
1442,,,konsultuotis,konsultúojasi,konsultãvosi,,консультироваться
1443,,,kontempliuoti,kontempliuoja,kontempliavo,,"созерцать, контемплировать"
1444,,,kontroliuoti,kontroliúoja,kontroliãvo,,контролировать
1445,,,konvertuoti,konvertúoja,konvertãvo,,конвертировать
1446,,,koordinuoti,koordinúoja,koordinãvo,,координировать
1447,,,kopijuoti,kopijuoja,kopijavo,ką?,копировать
1448,,,kopti,kõpia,kõpė,,"взбираться, подниматься"
1449,,,koreguoti,koregúoja,koregãvo,,корректировать
1450,,,korumpuoti,korumpuoja,korumpavo,,коррумпировать
1451,142,107,kósėti,kósti,kósėjo,,кашлять
1452,,,košti,kóšia,kõšė,,"цедить, процеживать"
1453,143,108,kovóti,kovója,kovójo,dėl ko?,"бороться, сражаться"
1454,,,kraipyti,kraĩpo,kraĩpė,,"искривлять, искажать; крутить (головой)"
1455,,,kramsnoti,kramsnója,kramsnójo,,"жевать (медленно, с хрустом)"
1456,,,kramtyti,kram̃to,kram̃tė,,жевать
1457,,,kranksėti,kránksi,kranksė́jo,,каркать
1458,,,krapštyti,krãpšto,krãpštė,,"ковырять, царапать"
1459,,,kratyti,krãto,krãtė,,трясти
1460,,,kratytis,krãtosi,krãtėsi,,"трястись, отряхиваться"
1461,,,kraujuoti,kraujúoja,kraujãvo,,кровоточить
1462,,,kraustyti,kráusto,kráustė,,"передвигать, перемещать"
1463,,,kraustytis,kráustosi,kráustėsi,,переезжать
1464,,,krauti,kráuna,króvė,,"грузить, нагружать"
1465,,,krautis,kráunasi,króvėsi,,"грузиться, нагружаться; собираться (в дорогу)"
1466,,,kreipti,kreĩpia,kreĩpė,,"направлять, обращать"
1467,,,kreiptis,kreipiasi,kreipėsi,į ką?,обращаться
1468,,,krešti,krę̃šta,krẽšo,,"сворачиваться (о крови, молоке)"
1469,,,krikdyti,krikdo,krikdė,,"рассейвать, раз­брасывать; (ardyti tvarką, drausmę) разва­ливать, разлагать, дезорганизовать"
1470,,,krikštyti,krìkštija,krìkštijo,,крестить
1471,,,krikti,kriñka,krìko,,"рассыпаться, разбегаться"
1472,,,krimsti,krimstà,krim̃to,,"грызть, жевать"
1473,144,109,krìsti,kriñta,krìto,,падать
1474,,,kritikuoti,kritikúoja,kritikãvo,,критиковать
1475,,,krūptelėti,krū́ptelėja,krū́ptelėjo,,вздрогнуть
1476,,,krustelėti,krùsteli,krùstelėjo,,"шевельнуться, пошевелиться (слегка)"
1477,,,krušti,krušà,krùšo,,бить градом; ругать (разг.)
1478,,,krutėti,krùta,krutė́jo,,"шевелиться, двигаться"
1479,,,krutinti,krùtina,krùtino,,"шевелить, двигать"
1480,,,krutintis,krutinasi,krutinosi,,"шевелиться, двигаться (о себе)"
1481,,,krykštauti,krýkštauja,krýkštavo,,"ликовать, торжествовать (с криками)"
1482,,,krypti,krỹpsta,krỹpo,,"склоняться, направляться"
1483,,,krypuoti,krypúoja,krypãvo,,"ковылять, хромать"
1484,,,kryžiuoti,kryžiúoja,kryžiãvo,,"крестить, распинать"
1485,,,kuisti,kuĩčia,kuitė,,"рыться, копаться (в чем-то)"
1486,,,kulti,kùlia,kū́lė,,молотить (зерно)
1487,,,kuopti,kuõpia,kuõpė,,"убирать, чистить"
1488,,,kuprintis,kuprinasi,kuprinosi,,"сутулиться, горбиться"
1489,,,kūrenti,kūrẽna,kūrẽno,,"топить (печь), отапливать"
1490,,,kursuoti,kursúoja,kursãvo,,курсировать
1491,145,110,kùrti,kùria,kū́rė,ką?,"сочинять, создавать, творить; писать (стихи); разводить; топить (печь)"
1492,,,kušti,kùšta,kušo,,"дремать, спать (редко)"
1493,,,kutenti,kutẽna,kutẽno,,щекотать
1494,,,kuždėti,kùžda,kuždė́jo,,шептать
1495,,,kvailinti,kvaĩlina,kvaĩlino,,"дурачить, одурачивать"
1496,,,kvailioti,kvailiója,kvailiójo,,"дурачиться, шалить"
1497,,,kvalifikuoti,kvalifikúoja,kvalifikãvo,,квалифицировать
1498,,,kvatoti,kvatója,kvatójo,,хохотать
1499,,,kvatotis,kvatójasi,kvatójosi,,хохотать
1500,,,kvepėti,kvẽpia,kvepė́jo,,пахнуть
1501,,,kvėpinti,kvėpìna,kvėpìno,,"душиться, ароматизировать"
1502,146,111,kvėpúoti,kvėpúoja,kvėpãvo,kuo?,дышать
1503,147,112,kviẽsti,kviẽčia,kviẽtė,ką?,приглашать
1504,,,kviestis,kviẽčiasi,kviẽtėsi,,"звать (к себе), приглашать (к себе)"
1505,,,kyšoti,kýšo,kýšojo,,"торчать, высовываться"
1506,,,labinti,lãbina,labino,,приветствовать
1507,148,113,láidoti,láidoja,láidojo,ką?,хоронить
1508,,,laiduoti,laidúoja,laidãvo,,"поручаться, гарантировать"
1509,,,laidyti,laĩdo,laidė̃,,"разбрасывать, расточать"
1510,149,114,laikýti,laĩko,laĩkė,ką?,держать;сдавать; считать
1511,150,115,laikýtis,laĩkosi,laĩkėsi,už ko? / ko?,держаться; соблюдать
1512,151,116,laimė́ti,laĩmi,laimė́jo,ką?,"выиграть, выигрывать; занять, занимать"
1513,,,laiminti,láimina,láimino,,благословлять
1514,,,laipinti,laipìna,laipìno,,"сажать (на судно), высаживать"
1515,,,laipioti,láipioja,láipiojo,,"лазить, карабкаться (многократно)"
1516,152,117,láistyti,láisto,láistė,ką?,поливать
1517,,,laisvėti,laisvė́ja,laisvė́jo,,"освобождаться, становиться свободнее"
1518,,,laisvinti,láisvina,láisvino,,освобождать
1519,,,laižyti,laĩžo,laĩžė,,лизать
1520,,,lakioti,lakiója,lakiójo,,"летать (туда-сюда), порхать"
1521,,,lakstyti,lãksto,lãkstė,,"бегать (туда-сюда), носиться"
1522,,,lamdyti,lámdo,lámdė,,"мять, комкать"
1523,,,landžioti,lándžioja,lándžiojo,,"лазить, проникать (куда-либо)"
1524,,,lankstyti,lañksto,lañkstė,,"гнуть, сгибать (многократно)"
1525,,,lanktytis,lañkosi,lañkėsi,,"гнуться, сгибаться (многократно)"
1526,153,118,lankýti,lañko,lañkė,ką?,навещать; посещать
1527,,,lankytis,lañkosi,lañkėsi,,"посещать (самому), бывать"
1528,,,lapatuoti,lapatúoja,lapatãvo,,"хлопать (крыльями), трепетать"
1529,,,lašėti,lãša,lašė́jo,,капать
1530,,,lašnoti,lašnója,lašnójo,,моросить (о дожде)
1531,154,119,láukti,láukia,láukė,ko?,"ждать, ожидать"
1532,155,120,láuktis,láukiasi,láukėsi,ko?,быть беременной
1533,,,laužti,láužia,láužė,,ломать
1534,,,laužyti,láužo,láužė,,"ломать (многократно), крошить"
1535,,,lavinti,lavinà,lãvino,,"развивать, тренировать"
1536,,,lavintis,lãvinasi,lãvino,,"развиваться, тренироваться"
1537,,,lažintis,lãžinasi,lãžinosi,,"спорить, держать пари"
1538,156,121,léisti,léidžia,léido,ką? / kam?,"разрешить, разрешать; расходовать, тратить; издавать, выпускать; пустить, пускать"
1539,,,leistis,léidžiasi,léidosi,,"опускаться, спускаться; позволять себе"
1540,,,lekioti,lekiója,lekiójo,,"летать (туда-сюда), носиться (о птицах)"
1541,,,lėkti,lẽkia,lė̃kė,,"лететь, мчаться"
1542,,,lemti,lẽmia,lė́mė,,"предопределять, судить (о судьбе)"
1543,,,lengvėti,lengvė́ja,lengvė́jo,,"облегчаться, становиться легче"
1544,,,lengvinti,leñgvina,leñgvino,,облегчать
1545,158,122,leñkti,leñkia,leñkė,ką?,"обгонять, перегонять; сгибать, наклонять; подворачивать"
1546,,,lenktis,leñkiasi,leñkėsi,,"гнуться, сгибаться; кланяться"
1547,,,lenktyniauti,lenktyniáuja,lenktyniãvo,,"соревноваться, гоняться"
1548,,,lepinti,lẽpina,lẽpino,,"баловать, нежить"
1549,,,lepintis,lẽpinasi,lẽpinosi,,"баловаться, нежиться"
1550,,,leptelėti,leptelėja,lèptelėjo,,"ляпнуть, брякнуть (слово)"
1551,,,lepti,lémpa,lẽpo,,избаловываться; изнежи­ваться
1552,,,lesinėti,lesinė́ja,lesinė́jo,,клевать (многократно)
1553,,,lesinti,lẽsina,lẽsino,,кормить (птиц)
1554,,,lesti,lẽsa,lẽsė,,клевать
1555,,,lėtinti,lė̃tina,lė̃tino,,замедлять
1556,,,liaupsinti,liáupsina,liáupsino,,"восхвалять, превозносить"
1557,,,liautis,liáunasi,lióvėsi,,"перестать, прекратить"
1558,,,liepsnoti,liepsnója,liepsnójo,,"пылать, гореть (о пламени)"
1559,160,124,liẽpti,liẽpia,liẽpė,kam?,"велеть, приказать"
1560,161,125,liẽsti,liẽčia,liẽtė,ką?,"трогать, дотрагиваться, касаться"
1561,,,lieti,líeja,líejo,,лить
1562,,,lietuvinti,lietùvina,lietùvino,,литуанизировать
1563,,,liežuvauti,liežuváuja,liežuvavo,,"сплетничать, болтать"
1564,163,127,lìkti,liẽka,lìko,,"остаться, оставаться"
1565,,,likviduoti,likvidúoja,likvidãvo,,ликвидировать
1566,,,lindėti,liñdi,lindė́jo,,"торчать, сидеть (где-то долго)"
1567,,,linguoti,lingúoja,lingãvo,,"качаться, раскачиваться"
1568,,,linkčioti,lìnkčioja,lìnkčiojo,,кивать (многократно)
1569,164,128,linkė́ti,liñki,linkė́jo,ko? / kam?,желать
1570,,,linksėti,lìnksi,linksė́jo,,кивать
1571,,,linksmėti,linksmėja,linksmė́jo,,"веселеть, становиться веселее"
1572,,,linksminti,lìnksmina,lìnksmino,,веселить
1573,,,linksmintis,linksminasi,linksminosi,,веселиться
1574,,,linksniuoti,linksniúoja,linksniãvo,,склонять (существительные)
1575,,,linktelėti,lìnktelėja,lìnktelėjo,,кивнуть
1576,,,linkti,liñksta,liñko,,"склоняться, наклоняться"
1577,,,lipdyti,lipdo,lipdė,ką?,лепить
1578,165,129,lìpti,lìpa,lìpo,,"лезть,подниматься; садиться, сесть"
1579,,,lįsti,leñda,liñdo,,"лезть, проникать"
1580,167,131,liūdė́ti,liū̃di,liūdė́jo,dėl ko?,"грустить, печалиться"
1581,,,liūdinti,liū̃dina,liū̃dino,,"печалить, огорчать"
1582,,,liudyti,liùdija,liùdijo,,"свидетельствовать, давать показания"
1583,,,lopyti,lõpo,lopė̃,,"латать, штопать"
1584,,,lošti,lõšia,lõšė,,"играть (в азартные игры), выигрывать"
1585,,,loti,lója,lójo,,лаять
1586,,,lukterėti,lukterėja,lùkterėjo,,подождать (немного)
1587,,,luošinti,lúošina,lúošino,,"калечить, уродовать"
